Country Name,Country Code,Series Name,Series Code,2010 [YR2010]
Bermuda,BMU,GDP (constant 2015 US$),NY.GDP.MKTP.KD,7543950875.42882
Bermuda,BMU,"Population, total",SP.POP.TOTL,63725
Bhutan,BTN,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,0.905
Bhutan,BTN,GDP (constant 2015 US$),NY.GDP.MKTP.KD,1668991759.59852
Bhutan,BTN,"Population, total",SP.POP.TOTL,701632
Bolivia,BOL,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,14.7927
Bolivia,BOL,GDP (constant 2015 US$),NY.GDP.MKTP.KD,25266542246.0612
Bolivia,BOL,"Population, total",SP.POP.TOTL,10182345
Bosnia and Herzegovina,BIH,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,22.2176
Bosnia and Herzegovina,BIH,GDP (constant 2015 US$),NY.GDP.MKTP.KD,15174269895.7758
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3811472
Botswana,BWA,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,3.3822
Botswana,BWA,GDP (constant 2015 US$),NY.GDP.MKTP.KD,11353915357.5123
Botswana,BWA,"Population, total",SP.POP.TOTL,2033111
Brazil,BRA,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,439.9219
Brazil,BRA,GDP (constant 2015 US$),NY.GDP.MKTP.KD,1703150040806.99
Brazil,BRA,"Population, total",SP.POP.TOTL,193701929
British Virgin Islands,VGB,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,0.0705
British Virgin Islands,VGB,GDP (constant 2015 US$),NY.GDP.MKTP.KD,..
British Virgin Islands,VGB,"Population, total",SP.POP.TOTL,27675
Brunei Darussalam,BRN,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,7.3795
Brunei Darussalam,BRN,GDP (constant 2015 US$),NY.GDP.MKTP.KD,12994552864.5932
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,392332
Bulgaria,BGR,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,49.5094
Bulgaria,BGR,GDP (constant 2015 US$),NY.GDP.MKTP.KD,47544216166.3084
Bulgaria,BGR,"Population, total",SP.POP.TOTL,7395599
Burkina Faso,BFA,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,1.9623
Burkina Faso,BFA,GDP (constant 2015 US$),NY.GDP.MKTP.KD,9088720451.70527
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,16176498
Burundi,BDI,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,0.3199
Burundi,BDI,GDP (constant 2015 US$),NY.GDP.MKTP.KD,2375133693.99181
Burundi,BDI,"Population, total",SP.POP.TOTL,9376444
Cabo Verde,CPV,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,0.7498
Cabo Verde,CPV,GDP (constant 2015 US$),NY.GDP.MKTP.KD,1628564468.24228
Cabo Verde,CPV,"Population, total",SP.POP.TOTL,509784
Cambodia,KHM,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,5.1593
Cambodia,KHM,GDP (constant 2015 US$),NY.GDP.MKTP.KD,16760698493.0409
Cambodia,KHM,"Population, total",SP.POP.TOTL,14500726
Cameroon,CMR,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,7.828
Cameroon,CMR,GDP (constant 2015 US$),NY.GDP.MKTP.KD,25389533434.6495
Cameroon,CMR,"Population, total",SP.POP.TOTL,19668066
Canada,CAN,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,562.1099
Canada,CAN,GDP (constant 2015 US$),NY.GDP.MKTP.KD,1399830508940.89
Canada,CAN,"Population, total",SP.POP.TOTL,34005902
Cayman Islands,CYM,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,0.2472
Cayman Islands,CYM,GDP (constant 2015 US$),NY.GDP.MKTP.KD,4299956032.00849
Cayman Islands,CYM,"Population, total",SP.POP.TOTL,54099
Central African Republic,CAF,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,0.1999
Central African Republic,CAF,GDP (constant 2015 US$),NY.GDP.MKTP.KD,2332499967.93604
Central African Republic,CAF,"Population, total",SP.POP.TOTL,4492995
Chad,TCD,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,0.5246
Chad,TCD,GDP (constant 2015 US$),NY.GDP.MKTP.KD,11782555814.4129
Chad,TCD,"Population, total",SP.POP.TOTL,12312575
Channel Islands,CHI,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,..
Channel Islands,CHI,GDP (constant 2015 US$),NY.GDP.MKTP.KD,10266424333.8754
Channel Islands,CHI,"Population, total",SP.POP.TOTL,158621
Chile,CHL,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,72.323
Chile,CHL,GDP (constant 2015 US$),NY.GDP.MKTP.KD,200151851762.225
Chile,CHL,"Population, total",SP.POP.TOTL,17181464
China,CHN,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,9106.0051
China,CHN,GDP (constant 2015 US$),NY.GDP.MKTP.KD,7711689202853.29
China,CHN,"Population, total",SP.POP.TOTL,1337705000
Colombia,COL,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,68.1511
Colombia,COL,GDP (constant 2015 US$),NY.GDP.MKTP.KD,233479933032.173
Colombia,COL,"Population, total",SP.POP.TOTL,44777319
Comoros,COM,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,0.1559
Comoros,COM,GDP (constant 2015 US$),NY.GDP.MKTP.KD,833348554.386726
Comoros,COM,"Population, total",SP.POP.TOTL,654836
"Congo, Dem. Rep.",COD,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,2.9456
"Congo, Dem. Rep.",COD,GDP (constant 2015 US$),NY.GDP.MKTP.KD,27467694662.4827
"Congo, Dem. Rep.",COD,"Population, total",SP.POP.TOTL,68563038
"Congo, Rep.",COG,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,5.2916
"Congo, Rep.",COG,GDP (constant 2015 US$),NY.GDP.MKTP.KD,10407332392.13
"Congo, Rep.",COG,"Population, total",SP.POP.TOTL,4462290
Costa Rica,CRI,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,7.2362
Costa Rica,CRI,GDP (constant 2015 US$),NY.GDP.MKTP.KD,46858459461.2317
Costa Rica,CRI,"Population, total",SP.POP.TOTL,4555962
Cote d'Ivoire,CIV,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,7.3149
Cote d'Ivoire,CIV,GDP (constant 2015 US$),NY.GDP.MKTP.KD,34643522418.9356
Cote d'Ivoire,CIV,"Population, total",SP.POP.TOTL,22488065
Croatia,HRV,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,20.9405
Croatia,HRV,GDP (constant 2015 US$),NY.GDP.MKTP.KD,51394805225.024
Croatia,HRV,"Population, total",SP.POP.TOTL,4295427
Cuba,CUB,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,28.1815
Cuba,CUB,GDP (constant 2015 US$),NY.GDP.MKTP.KD,75878940053.321
Cuba,CUB,"Population, total",SP.POP.TOTL,11297409
Curacao,CUW,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,..
Curacao,CUW,GDP (constant 2015 US$),NY.GDP.MKTP.KD,3079109361.94443
Curacao,CUW,"Population, total",SP.POP.TOTL,148703
Cyprus,CYP,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,7.9141
Cyprus,CYP,GDP (constant 2015 US$),NY.GDP.MKTP.KD,21640286747.1052
Cyprus,CYP,"Population, total",SP.POP.TOTL,1127816
Czechia,CZE,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,120.9946
Czechia,CZE,GDP (constant 2015 US$),NY.GDP.MKTP.KD,174565802522.079
Czechia,CZE,"Population, total",SP.POP.TOTL,10474410
Denmark,DNK,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,48.56
Denmark,DNK,GDP (constant 2015 US$),NY.GDP.MKTP.KD,284093791186.593
Denmark,DNK,"Population, total",SP.POP.TOTL,5547683
Djibouti,DJI,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,0.8116
Djibouti,DJI,GDP (constant 2015 US$),NY.GDP.MKTP.KD,..
Djibouti,DJI,"Population, total",SP.POP.TOTL,930251
Dominica,DMA,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,0.0773
Dominica,DMA,GDP (constant 2015 US$),NY.GDP.MKTP.KD,590415870.485502
Dominica,DMA,"Population, total",SP.POP.TOTL,68859
Dominican Republic,DOM,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,20.9277
Dominican Republic,DOM,GDP (constant 2015 US$),NY.GDP.MKTP.KD,55645592832.7047
Dominican Republic,DOM,"Population, total",SP.POP.TOTL,9820175
Ecuador,ECU,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,38.2529
Ecuador,ECU,GDP (constant 2015 US$),NY.GDP.MKTP.KD,75718234074.2169
Ecuador,ECU,"Population, total",SP.POP.TOTL,15076695
"Egypt, Arab Rep.",EGY,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,211.7586
"Egypt, Arab Rep.",EGY,GDP (constant 2015 US$),NY.GDP.MKTP.KD,288446290408.139
"Egypt, Arab Rep.",EGY,"Population, total",SP.POP.TOTL,89196072
El Salvador,SLV,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,6.7247
El Salvador,SLV,GDP (constant 2015 US$),NY.GDP.MKTP.KD,20622904543.8145
El Salvador,SLV,"Population, total",SP.POP.TOTL,6068249
Equatorial Guinea,GNQ,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,5.7159
Equatorial Guinea,GNQ,GDP (constant 2015 US$),NY.GDP.MKTP.KD,13061295371.1388
Equatorial Guinea,GNQ,"Population, total",SP.POP.TOTL,1189085
Eritrea,ERI,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,0.5168
Eritrea,ERI,GDP (constant 2015 US$),NY.GDP.MKTP.KD,2073049788.74561
Eritrea,ERI,"Population, total",SP.POP.TOTL,2945186
Estonia,EST,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,22.2156
Estonia,EST,GDP (constant 2015 US$),NY.GDP.MKTP.KD,19516680413.329
Estonia,EST,"Population, total",SP.POP.TOTL,1331475
Eswatini,SWZ,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,0.8556
Eswatini,SWZ,GDP (constant 2015 US$),NY.GDP.MKTP.KD,3412233861.45679
Eswatini,SWZ,"Population, total",SP.POP.TOTL,1111650
Ethiopia,ETH,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,6.8811
Ethiopia,ETH,GDP (constant 2015 US$),NY.GDP.MKTP.KD,38198074328.8086
Ethiopia,ETH,"Population, total",SP.POP.TOTL,90538514
Faroe Islands,FRO,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,0.002
Faroe Islands,FRO,GDP (constant 2015 US$),NY.GDP.MKTP.KD,2059822159.10004
Faroe Islands,FRO,"Population, total",SP.POP.TOTL,48657
Fiji,FJI,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,1.6965
Fiji,FJI,GDP (constant 2015 US$),NY.GDP.MKTP.KD,3889636945.80504
Fiji,FJI,"Population, total",SP.POP.TOTL,910419
Finland,FIN,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,65.8469
Finland,FIN,GDP (constant 2015 US$),NY.GDP.MKTP.KD,233609048324.553
Finland,FIN,"Population, total",SP.POP.TOTL,5363352
France,FRA,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,377.2787
France,FRA,GDP (constant 2015 US$),NY.GDP.MKTP.KD,2313515332182.54
France,FRA,"Population, total",SP.POP.TOTL,65026211
French Polynesia,PYF,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,0.9897
French Polynesia,PYF,GDP (constant 2015 US$),NY.GDP.MKTP.KD,5388066377.2296
French Polynesia,PYF,"Population, total",SP.POP.TOTL,270580
Gabon,GAB,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,5.9582
Gabon,GAB,GDP (constant 2015 US$),NY.GDP.MKTP.KD,11147389066.6347
Gabon,GAB,"Population, total",SP.POP.TOTL,1719879
"Gambia, The",GMB,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,0.4408
"Gambia, The",GMB,GDP (constant 2015 US$),NY.GDP.MKTP.KD,1350595613.51288
"Gambia, The",GMB,"Population, total",SP.POP.TOTL,1926630
Georgia,GEO,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,6.3124
Georgia,GEO,GDP (constant 2015 US$),NY.GDP.MKTP.KD,11701134202.5253
Georgia,GEO,"Population, total",SP.POP.TOTL,3786695
Germany,DEU,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,814.962
Germany,DEU,GDP (constant 2015 US$),NY.GDP.MKTP.KD,3150598283304.25
Germany,DEU,"Population, total",SP.POP.TOTL,81776930
Ghana,GHA,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,11.128
Ghana,GHA,GDP (constant 2015 US$),NY.GDP.MKTP.KD,35186775129.0417
Ghana,GHA,"Population, total",SP.POP.TOTL,25474995
Gibraltar,GIB,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,0.4748
Gibraltar,GIB,GDP (constant 2015 US$),NY.GDP.MKTP.KD,..
Gibraltar,GIB,"Population, total",SP.POP.TOTL,31248
Greece,GRC,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,89.0981
Greece,GRC,GDP (constant 2015 US$),NY.GDP.MKTP.KD,239639588360.141
Greece,GRC,"Population, total",SP.POP.TOTL,11121341
Greenland,GRL,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,0.6428
Greenland,GRL,GDP (constant 2015 US$),NY.GDP.MKTP.KD,2458184031.69379
Greenland,GRL,"Population, total",SP.POP.TOTL,56534
Grenada,GRD,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,0.1188
Grenada,GRD,GDP (constant 2015 US$),NY.GDP.MKTP.KD,855944031.100456
Grenada,GRD,"Population, total",SP.POP.TOTL,111586
Guam,GUM,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,0.0003
Guam,GUM,GDP (constant 2015 US$),NY.GDP.MKTP.KD,5435968880.80073
Guam,GUM,"Population, total",SP.POP.TOTL,166522
Guatemala,GTM,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,11.7791
Guatemala,GTM,GDP (constant 2015 US$),NY.GDP.MKTP.KD,51426471557.3669
Guatemala,GTM,"Population, total",SP.POP.TOTL,14500112
Guinea,GIN,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,2.5103
Guinea,GIN,GDP (constant 2015 US$),NY.GDP.MKTP.KD,7025019105.91374
Guinea,GIN,"Population, total",SP.POP.TOTL,10396086
Guinea-Bissau,GNB,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,0.3138
Guinea-Bissau,GNB,GDP (constant 2015 US$),NY.GDP.MKTP.KD,980382895.434522
Guinea-Bissau,GNB,"Population, total",SP.POP.TOTL,1566347
Guyana,GUY,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,1.7612
Guyana,GUY,GDP (constant 2015 US$),NY.GDP.MKTP.KD,3641452424.56855
Guyana,GUY,"Population, total",SP.POP.TOTL,749256
Haiti,HTI,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,2.5989
Haiti,HTI,GDP (constant 2015 US$),NY.GDP.MKTP.KD,12916662276.64
Haiti,HTI,"Population, total",SP.POP.TOTL,9803294
Honduras,HND,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,7.9832
Honduras,HND,GDP (constant 2015 US$),NY.GDP.MKTP.KD,17639229093.9667
Honduras,HND,"Population, total",SP.POP.TOTL,8365878
"Hong Kong SAR, China",HKG,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,42.2277
"Hong Kong SAR, China",HKG,GDP (constant 2015 US$),NY.GDP.MKTP.KD,267551928313.897
"Hong Kong SAR, China",HKG,"Population, total",SP.POP.TOTL,7024200
Hungary,HUN,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,52.3463
Hungary,HUN,GDP (constant 2015 US$),NY.GDP.MKTP.KD,112873946275.587
Hungary,HUN,"Population, total",SP.POP.TOTL,10000023
Iceland,ISL,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,3.7364
Iceland,ISL,GDP (constant 2015 US$),NY.GDP.MKTP.KD,15752089361.4432
Iceland,ISL,"Population, total",SP.POP.TOTL,318041
India,IND,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,1730.0542
India,IND,GDP (constant 2015 US$),NY.GDP.MKTP.KD,1535897931732.14
India,IND,"Population, total",SP.POP.TOTL,1243481564
Indonesia,IDN,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,443.682
Indonesia,IDN,GDP (constant 2015 US$),NY.GDP.MKTP.KD,657835433773.518
Indonesia,IDN,"Population, total",SP.POP.TOTL,246305322
"Iran, Islamic Rep.",IRN,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,576.7498
"Iran, Islamic Rep.",IRN,GDP (constant 2015 US$),NY.GDP.MKTP.KD,406386748164.51
"Iran, Islamic Rep.",IRN,"Population, total",SP.POP.TOTL,77420842
Iraq,IRQ,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,111.4935
Iraq,IRQ,GDP (constant 2015 US$),NY.GDP.MKTP.KD,120516349622.451
Iraq,IRQ,"Population, total",SP.POP.TOTL,31045366
Ireland,IRL,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,40.9249
Ireland,IRL,GDP (constant 2015 US$),NY.GDP.MKTP.KD,214289191596.523
